id,nom,type,cuisine,origine,temps_preparation,temps_cuisson,nb_personnes,nombre_etapes,instructions,methodes_cuisson,ustensiles,image_path,calories,valeur_nutritionnelle,empreinte_carbone
50,Filet mignon poêlé à la perfection,['Dîner'],['Américain'],Amérique du Nord,10.0,10.0,2,8,"Rassemblez tous les ingrédients. Laissez les steaks reposer à température ambiante pendant 30 minutes avant la cuisson. Pendant ce temps, préchauffez le four à 220 °C (425 °F). Faites chauffer l'huile dans une grande poêle allant au four à feu vif. Assaisonnez généreusement une face des steaks avec du sel et du poivre, en une couche uniforme. Placez les filets, face assaisonnée vers le bas, dans la poêle et laissez cuire sans les retourner jusqu'à ce qu'une belle croûte dorée se forme, environ 3 minutes. Assaisonnez l'autre face avec du sel et du poivre et retournez les steaks. Poursuivez la cuisson 2 minutes, puis enfournez la poêle dans le four préchauffé. Poursuivez la cuisson au four préchauffé 2 à 3 minutes pour une cuisson saignante, environ 4 minutes pour une cuisson à point, 5 à 7 minutes pour une cuisson bien cuite, environ 8 minutes pour une cuisson bien cuite et 1 à 2 minutes supplémentaires pour une cuisson très cuite. Retirez les steaks de la poêle. Ajoutez du beurre si vous le souhaitez et couvrez-les de papier aluminium. Laissez reposer les steaks 10 minutes avant de servir. Pendant ce temps, remettez la poêle au four. Faites chauffer une poêle à feu moyen-vif et faites-y fondre 2 cuillères à soupe de beurre. Ajoutez les champignons et faites-les revenir, en remuant souvent, jusqu'à ce qu'ils soient dorés, environ 5 minutes. Déglacez la poêle avec le vin et grattez le fond avec une cuillère en bois pour décoller les sucs de cuisson. Laissez réduire jusqu'à ce que le liquide soit presque entièrement évaporé. Incorporez la crème, la sauce Worcestershire et le poivre, puis portez à frémissement en remuant régulièrement. Baissez le feu à doux et laissez mijoter jusqu'à ce que la sauce épaississe légèrement, environ 2 minutes. Rectifiez l'assaisonnement avec du sel si nécessaire. Ajoutez le jus de citron et servez la sauce aux champignons avec le filet mignon. Bon appétit !","['mijoter', 'réduire']","['four', 'poêle']",https://www.allrecipes.com/recipe/8539032/perfect-pan-seared-filet-mignon/,1091 kcal,"""{""""Carbohydrates"""": """"9 g"""", """"Cholesterol"""": """"318 mg"""", """"Fiber"""": """"3 g"""", """"Protein"""": """"66 g"""", """"Saturated Fat"""": """"38 g"""", """"Sodium"""": """"1532 mg"""", """"Sugar"""": """"5 g"""", """"Fat"""": """"86 g"""", """"Unsaturated Fat"""": """"0 g""""}""",79.65
51,Tarte crumble aux pommes,['Dessert'],['Américain'],Amérique du Nord,30.0,40.0,8,4,"Préchauffez le four à 200 °C (thermostat 6). Disposez les tranches de pommes dans le fond de tarte non cuit. Mélangez 125 g de sucre et de cannelle, puis saupoudrez le mélange sur les pommes. Pour la pâte à crumble : mélangez 80 g de sucre et de farine dans un saladier. Incorporez le beurre froid à l’aide de deux couteaux ou d’un coupe-pâte jusqu’à obtenir une texture sableuse. Répartissez ce mélange sur les pommes. Enfournez pendant environ 40 minutes, jusqu’à ce que les pommes soient tendres et le dessus légèrement doré.",['cuire'],"['four', 'mixeur']",https://www.allrecipes.com/recipe/12298/apple-crumble-pie/,358 kcal,"""{""""Carbohydrates"""": """"52 g"""", """"Cholesterol"""": """"23 mg"""", """"Fiber"""": """"3 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"8 g"""", """"Sodium"""": """"210 mg"""", """"Sugar"""": """"30 g"""", """"Fat"""": """"16 g"""", """"Unsaturated Fat"""": """"0 g""""}""",33.45
52,Côtelettes de porc à la sauce aux champignons et aux oignons,['Dîner'],['Américain'],Amérique du Nord,20.0,60.0,6,4,"Préchauffez le four à 175 °C (thermostat 6). Faites chauffer un peu d'huile dans une grande poêle, ajoutez les côtelettes et faites-les dorer des deux côtés. Lorsqu'elles sont presque cuites, saupoudrez-les de marjolaine. Mélangez la moitié de la boîte de soupe, l'eau, le sel et le poivre. Versez le tout dans un plat allant au four de 23 x 33 cm (9 x 13 pouces) recouvert de papier aluminium. Disposez les oignons, puis les côtelettes dorées sur le mélange de soupe. Arrosez les côtelettes avec le reste de soupe, de manière à bien les recouvrir. Couvrez de papier aluminium et enfournez pendant 40 minutes. Retirez le papier aluminium et poursuivez la cuisson pendant 20 minutes. Laissez reposer 5 minutes avant de servir.",['cuire'],"['poêle', 'four', 'poêle']",https://www.allrecipes.com/recipe/21497/pork-chops-with-mushroom-onion-gravy/,167 kcal,"""{""""Carbohydrates"""": """"6 g"""", """"Cholesterol"""": """"37 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"15 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"780 mg"""", """"Sugar"""": """"2 g"""", """"Fat"""": """"9 g"""", """"Unsaturated Fat"""": """"0 g""""}""",34.73
53,Haricots mélangés et plus encore,['Dîner'],['Américain'],Amérique du Nord,15.0,275.0,10,5,"Mettez les haricots noirs, les haricots pinto et les haricots rouges dans une grande casserole et couvrez-les d'eau froide (plusieurs centimètres au-dessus des haricots). Laissez tremper pendant au moins 12 heures. Portez l'eau et les haricots à ébullition dans la même casserole et laissez cuire jusqu'à ce qu'ils soient tendres et bien chauds, environ 30 minutes. Égouttez les haricots et réservez-les. Dans une grande poêle, faites revenir la saucisse, le bœuf, l'oignon, le poivron et l'ail à feu moyen-vif jusqu'à ce que la viande soit dorée et émiettée, 5 à 10 minutes. Égouttez et jetez le gras. Versez les haricots, le mélange de saucisse, le maïs, l'eau, la salsa, la sauce chili et le vinaigre dans une mijoteuse et mélangez bien. Faites cuire à feu vif pendant au moins 4 heures, en remuant de temps en temps. Assaisonnez de sel et de poivre noir moulu.",['bouillir'],"['poêle', 'casserole', 'mijoteuse']",https://www.allrecipes.com/recipe/234416/mixed-beans-and-more/,574 kcal,"""{""""Carbohydrates"""": """"66 g"""", """"Cholesterol"""": """"56 mg"""", """"Fiber"""": """"15 g"""", """"Protein"""": """"34 g"""", """"Saturated Fat"""": """"7 g"""", """"Sodium"""": """"843 mg"""", """"Sugar"""": """"6 g"""", """"Fat"""": """"20 g"""", """"Unsaturated Fat"""": """"0 g""""}""",22.81
54,Purée de pommes de terre ultra crémeuse de Swanson,"['Dîner', 'Accompagnement']",['Américain'],Amérique du Nord,15.0,15.0,6,2,"Dans une casserole de 3 litres, mélanger les pommes de terre et le bouillon de poulet. Porter à ébullition à feu moyen-vif. Baisser le feu à moyen, couvrir et laisser mijoter jusqu'à ce que les pommes de terre soient tendres, environ 10 minutes. Bien égoutter les pommes de terre dans une passoire en conservant le bouillon. Remettre les pommes de terre dans la casserole. Ajouter le bouillon réservé, la crème et le beurre. Écraser jusqu'à obtenir une purée lisse et assaisonner de sel et de poivre.","['bouillir', 'réduire']","['casserole', 'passoire', 'poêle']",https://www.allrecipes.com/recipe/177715/ultra-creamy-mashed-potatoes-from-swanson/,173 kcal,"""{""""Carbohydrates"""": """"23 g"""", """"Cholesterol"""": """"25 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"5 g"""", """"Sodium"""": """"363 mg"""", """"Sugar"""": """"0 g"""", """"Fat"""": """"8 g"""", """"Unsaturated Fat"""": """"0 g""""}""",41.33
55,Cobbler aux mûres de la grand-mère de Mellissa,['Dessert'],['Américain'],Amérique du Nord,20.0,40.0,12,4,"Préchauffez le four à 220 °C (thermostat 6). Graissez un plat allant au four de 23 x 33 cm. Dans une grande casserole, mélangez les mûres, 375 g de sucre et la fécule de maïs. Ajoutez l'eau et portez à ébullition à feu vif, en remuant constamment jusqu'à épaississement, environ 5 minutes. Versez le mélange dans le plat préparé. Dans un grand bol, fouettez la farine, 150 g de sucre, la levure chimique et le sel. Incorporez la margarine à l'aide de deux couteaux ou d'un coupe-pâte jusqu'à obtenir une texture granuleuse. Ajoutez le lait et mélangez jusqu'à former une pâte souple. Déposez des cuillerées de pâte sur la préparation aux mûres. Faites cuire au four préchauffé jusqu'à ce que le dessus soit doré, de 30 à 45 minutes.","['cuire', 'bouillir']","['casserole', 'mixeur', 'plat à four', 'fouet', 'four']",https://www.allrecipes.com/recipe/218010/mellissas-grandmas-blackberry-cobbler/,382 kcal,"""{""""Carbohydrates"""": """"59 g"""", """"Cholesterol"""": """"1 mg"""", """"Fiber"""": """"3 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"417 mg"""", """"Sugar"""": """"39 g"""", """"Fat"""": """"16 g"""", """"Unsaturated Fat"""": """"0 g""""}""",14.43
56,Casserole de riz au poulet facile,['Dîner'],['Américain'],Amérique du Nord,0.0,0.0,6,3,"Préchauffez le four à 175 °C (350 °F). Dans un bol moyen, mélangez le lait, le riz, la soupe et le sel assaisonné (facultatif). Versez le mélange dans un plat allant au four de 23 x 33 cm (9 x 13 pouces) légèrement graissé. Ajoutez les morceaux de poulet. Couvrez hermétiquement le plat de papier aluminium et faites cuire au four préchauffé pendant environ 90 minutes, ou jusqu'à ce que le riz soit cuit, en remuant toutes les 30 minutes. Retirez le papier aluminium et poursuivez la cuisson pendant 15 minutes supplémentaires pour permettre au riz de dorer.",['cuire'],"['plat à four', 'four']",https://www.allrecipes.com/recipe/8873/easy-chicken-rice-casserole/,517 kcal,"""{""""Carbohydrates"""": """"67 g"""", """"Cholesterol"""": """"82 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"34 g"""", """"Saturated Fat"""": """"4 g"""", """"Sodium"""": """"911 mg"""", """"Sugar"""": """"5 g"""", """"Fat"""": """"11 g"""", """"Unsaturated Fat"""": """"0 g""""}""",41.24
57,Cobbler aux mûres d'Emily,['Dessert'],['États Unis.'],Amérique du Nord,10.0,50.0,12,5,"Préchauffez le four à 175 °C (thermostat 6). Dans un saladier moyen, mélangez la farine, la levure chimique et le sel. Réservez. Dans un grand saladier, battez 200 g de sucre et le beurre ramolli au batteur électrique jusqu'à obtenir une consistance légère et mousseuse. Incorporez le mélange de farine en alternant avec le lait, jusqu'à ce qu'il n'y ait plus de grumeaux. Versez la pâte dans un plat allant au four de 23 x 33 cm. Répartissez les mûres sur la pâte et saupoudrez du reste de sucre (200 g). Versez de l'eau bouillante sur le dessus. Faites cuire au four préchauffé jusqu'à ce que la pâte soit prise et les mûres tendres, environ 50 minutes.",['cuire'],"['fouet', 'mixeur', 'four', 'plat à four']",https://www.allrecipes.com/recipe/218016/emilys-blackberry-cobbler/,270 kcal,"""{""""Carbohydrates"""": """"53 g"""", """"Cholesterol"""": """"15 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"310 mg"""", """"Sugar"""": """"36 g"""", """"Fat"""": """"6 g"""", """"Unsaturated Fat"""": """"0 g""""}""",9.72
58,Gruau riche en protéines pour les athlètes,['Petit-déjeuner'],['Américain'],Amérique du Nord,5.0,5.0,1,1,"Mélangez les flocons d'avoine et la poudre de protéines dans un bol allant au micro-ondes. Incorporez les myrtilles, les graines de courge et les raisins secs. Ajoutez le lait et faites chauffer au micro-ondes pendant environ 1 minute. Remuez avant de servir.",['micro-ondes'],['micro-ondes'],https://www.allrecipes.com/recipe/265842/high-protein-oatmeal-for-athletes/,634 kcal,"""{""""Carbohydrates"""": """"96 g"""", """"Cholesterol"""": """"1 mg"""", """"Fiber"""": """"13 g"""", """"Protein"""": """"34 g"""", """"Saturated Fat"""": """"3 g"""", """"Sodium"""": """"220 mg"""", """"Sugar"""": """"23 g"""", """"Fat"""": """"15 g"""", """"Unsaturated Fat"""": """"0 g""""}""",16.07
59,Poulet grillé mariné au cidre de pomme,['Dîner'],['États Unis.'],Amérique du Nord,5.0,25.0,6,4,"Dans une casserole, mélanger le cidre de pomme, la gelée de pommes, le jus de citron, la sauce Worcestershire, la sauce piquante, le sel et le poivre. Faire chauffer à feu moyen en remuant jusqu'à ce que la gelée soit fondue, environ 3 à 5 minutes. Retirer du feu et laisser la marinade refroidir à température ambiante pendant environ 10 minutes. Placer les cuisses de poulet et la marinade dans un sac de congélation d'une capacité de 4 litres (1 gallon) et laisser mariner pendant au moins 1 heure. Préchauffer un barbecue à feu moyen et huiler légèrement la grille. Retirer le poulet du sac et jeter la marinade. Faire griller les cuisses de poulet jusqu'à ce qu'elles ne soient plus roses à cœur, en les retournant fréquemment et en veillant à ce qu'elles ne brûlent pas, pendant 20 à 25 minutes. La température à cœur, mesurée à l'aide d'un thermomètre à lecture instantanée, doit atteindre au moins 74 °C (165 °F).",['gril'],"['casserole', 'thermomètre', 'grill']",https://www.allrecipes.com/recipe/275913/apple-cider-marinated-grilled-chicken/,265 kcal,"""{""""Carbohydrates"""": """"28 g"""", """"Cholesterol"""": """"71 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"19 g"""", """"Saturated Fat"""": """"2 g"""", """"Sodium"""": """"1051 mg"""", """"Sugar"""": """"24 g"""", """"Fat"""": """"8 g"""", """"Unsaturated Fat"""": """"0 g""""}""",86.29
60,Soupe de riz à la dinde piquante et acidulée,['Dîner'],['Américain'],Amérique du Nord,35.0,150.0,10,3,"Déposez les morceaux de carcasse de dinde dans une grande marmite et couvrez-les d'eau froide. Ajoutez l'oignon, les feuilles de céleri et les feuilles de laurier, portez à ébullition, puis baissez le feu à doux. Laissez mijoter 2 heures. Filtrez le bouillon et remettez-le dans la marmite. Effilochez la chair de dinde et coupez-la en morceaux. Faites chauffer le beurre dans une poêle et faites-y revenir les carottes et le céleri jusqu'à ce qu'ils soient tendres, environ 8 minutes. Incorporez les carottes, le céleri, les tomates en dés avec leur jus, le riz, les haricots verts, les cubes de bouillon de poulet, la marjolaine, le thym, le romarin, le gingembre, le poivre de Cayenne, le sel et le poivre noir au bouillon. Ajoutez la chair de dinde hachée. Portez la soupe à nouveau à ébullition, baissez le feu et laissez mijoter jusqu'à ce que le riz soit tendre, 30 à 35 minutes. Retirez les brins de romarin et ajoutez le maïs. Rectifiez l'assaisonnement. Si vous le souhaitez, déposez une feuille de papier absorbant sur la soupe pour éliminer l'excédent d'huile.","['bouillir', 'mijoter', 'réduire']","['poêle', 'marmite']",https://www.allrecipes.com/recipe/229431/zippy-and-tangy-turkey-rice-soup/,168 kcal,"""{""""Carbohydrates"""": """"33 g"""", """"Cholesterol"""": """"6 mg"""", """"Fiber"""": """"4 g"""", """"Protein"""": """"4 g"""", """"Saturated Fat"""": """"1 g"""", """"Sodium"""": """"581 mg"""", """"Sugar"""": """"6 g"""", """"Fat"""": """"3 g"""", """"Unsaturated Fat"""": """"0 g""""}""",57.39
61,"Les meilleurs œufs mimosa, tout simplement.","['Amuse-bouche', 'En-cas']",['Américain'],Amérique du Nord,20.0,5.0,12,4,"Placez les œufs dans une casserole, couvrez d'eau et portez à ébullition. Retirez du feu et laissez reposer 15 minutes. Retirez les œufs de l'eau chaude et passez-les sous l'eau froide pour les refroidir. Écalez-les. Coupez chaque œuf en deux dans le sens de la longueur. Placez les jaunes dans un petit bol. Ajoutez 125 ml de bacon, l'oignon, la relish de cornichons à l'aneth, la mayonnaise, la moutarde et le jus de cuisson du bacon aux jaunes d'œufs. Mélangez à la fourchette jusqu'à ce que le tout soit bien mélangé, mais que les jaunes restent encore légèrement grumeleux. Incorporez le sel et le poivre. Garnissez chaque blanc d'œuf avec le mélange de jaunes d'œufs. Saupoudrez de paprika, puis parsemez du quart de tasse de bacon restant.",['bouillir'],['casserole'],https://www.allrecipes.com/recipe/262928/simply-the-best-deviled-eggs/,172 kcal,"""{""""Carbohydrates"""": """"2 g"""", """"Cholesterol"""": """"308 mg"""", """"Fiber"""": """"0 g"""", """"Protein"""": """"12 g"""", """"Saturated Fat"""": """"4 g"""", """"Sodium"""": """"275 mg"""", """"Sugar"""": """"1 g"""", """"Fat"""": """"13 g"""", """"Unsaturated Fat"""": """"0 g""""}""",56.33
62,Gâteau au aigre,['Gâteau'],"['États Unis', 'Américain']",Amérique du Nord,20.0,80.0,14,8,"Rassemblez tous les ingrédients. Préchauffez le four à 175 °C (thermostat 6). Beurrez et farinez un moule à cheminée de 25 cm de diamètre (type moule à bundt cake ou à génoise). Mélangez la farine, le sel, le bicarbonate de soude et la macis dans un saladier et réservez. Dans un grand saladier, battez le sucre et le beurre au batteur électrique jusqu'à obtenir une consistance légère et mousseuse, environ 5 minutes. Ajoutez les œufs un à un, en battant bien après chaque ajout. Incorporez la vanille. Ajoutez le mélange de farine aux ingrédients liquides en alternant avec la crème fraîche, et mélangez jusqu'à ce que le tout soit bien incorporé. Versez la pâte dans le moule préparé et lissez la surface avec le dos d'une cuillère. Faites cuire au four préchauffé jusqu'à ce qu'un cure-dent inséré au centre en ressorte propre, environ 1 heure et 25 minutes. Passez la lame d'un couteau fin ou une spatule coudée le long du bord du gâteau. Laissez refroidir dans le moule sur une grille pendant 20 minutes, puis démoulez sur une grille et laissez refroidir complètement. Saupoudrez de sucre glace avant de servir.",['cuire'],"['mixeur', 'spatule', 'couteau', 'four', 'poêle']",https://www.allrecipes.com/recipe/84042/grandmas-sour-cream-pound-cake/,420 kcal,"""{""""Carbohydrates"""": """"64 g"""", """"Cholesterol"""": """"58 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"4 g"""", """"Saturated Fat"""": """"10 g"""", """"Sodium"""": """"119 mg"""", """"Sugar"""": """"44 g"""", """"Fat"""": """"17 g"""", """"Unsaturated Fat"""": """"0 g""""}""",23.04
63,Tarte à la rhubarbe fraîche,['Dessert'],['Américain'],Amérique du Nord,20.0,65.0,8,5,"Préchauffez le four à 165 °C (thermostat 6). Vaporisez légèrement un plat carré de 23 cm de côté avec un aérosol de cuisson. Dans un bol, mélangez 250 g de farine, 2 cuillères à soupe de sucre et le beurre fondu jusqu'à obtenir une pâte homogène. Étalez cette pâte au fond du plat préparé. Faites cuire la croûte au four préchauffé jusqu'à ce qu'elle soit légèrement dorée, environ 25 minutes. Laissez-la tiédir. Augmentez la température du four à 175 °C (thermostat 6). Dans un bol, mélangez la rhubarbe, 300 g de sucre, le lait, les jaunes d'œufs battus et 2 cuillères à soupe de farine jusqu'à obtenir une préparation homogène. Versez ce mélange sur la croûte. Faites cuire au four jusqu'à ce que la garniture soit prise, de 40 à 45 minutes. Servez chaud.",['cuire'],"['plat à four', 'four']",https://www.allrecipes.com/recipe/214104/fresh-rhubarb-torte/,332 kcal,"""{""""Carbohydrates"""": """"50 g"""", """"Cholesterol"""": """"108 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"4 g"""", """"Saturated Fat"""": """"8 g"""", """"Sodium"""": """"91 mg"""", """"Sugar"""": """"35 g"""", """"Fat"""": """"14 g"""", """"Unsaturated Fat"""": """"0 g""""}""",20.68
64,Haricots blancs cuits au four avec du bacon et de l'harissa,['Accompagnement'],['Américain'],Amérique du Nord,15.0,0.0,9,5,"Préchauffez le four à 175 °C (thermostat 6). Faites cuire le bacon dans une grande poêle à feu moyen jusqu'à ce qu'il soit doré et croustillant, environ 10 minutes. Retirez-le et égouttez-le sur du papier absorbant. Réservez 1/2 cuillère à soupe de graisse de bacon dans la poêle. Faites revenir l'oignon dans la graisse réservée à feu doux jusqu'à ce qu'il commence à ramollir, environ 5 minutes. Ajoutez l'ail et faites-le cuire, en remuant de temps en temps, jusqu'à ce qu'il soit parfumé, environ 2 minutes de plus. Incorporez les haricots, la sauce harissa, l'eau, les raisins secs, les dattes, le cumin et le bacon cuit dans la poêle. Versez le tout dans un plat carré de 20 cm de côté. Faites cuire au four préchauffé, à couvert, jusqu'à ce que le plat soit bien chaud et bouillonne, environ 40 minutes. Remuez délicatement avant de servir et parsemez de persil et de tranches de piment jalapeño. Recette de Laura Kanya.",['cuire'],"['plat à four', 'poêle', 'four']",https://www.allrecipes.com/recipe/8390542/harissa-bacon-baked-beans/,260 kcal,"""{""""Carbohydrates"""": """"42 g"""", """"Cholesterol"""": """"6 mg"""", """"Fiber"""": """"8 g"""", """"Protein"""": """"12 g"""", """"Saturated Fat"""": """"2 g"""", """"Sodium"""": """"814 mg"""", """"Sugar"""": """""""", """"Fat"""": """"6 g"""", """"Unsaturated Fat"""": """"0 g""""}""",25.18
65,Ailes de poulet au miel et à l'ail,"['Entrée', 'Dîner', 'Déjeuner', 'Goûter']",['Américain'],Amérique du Nord,10.0,95.0,6,4,"Dans une casserole, mélanger l'oignon, le miel, la cassonade, la sauce soja, le beurre, la moutarde en poudre et l'ail. Faire chauffer à feu moyen pendant environ 5 minutes, jusqu'à ce que le tout soit chaud. Disposer les ailes de poulet en une seule couche dans un plat peu profond allant au four. Verser la sauce dessus et mélanger pour bien les enrober. Couvrir le plat de film alimentaire et laisser mariner au réfrigérateur pendant 1 heure ou toute une nuit. Préchauffer le four à 175 °C (350 °F). Enfourner et cuire au four préchauffé jusqu'à ce que les ailes ne soient plus roses près de l'os et que le jus qui s'en écoule soit clair, en les retournant de temps en temps, pendant environ 90 minutes. La température à cœur, mesurée à l'aide d'un thermomètre à lecture instantanée inséré près de l'os, doit être de 74 °C (165 °F).",['cuire'],"['casserole', 'thermomètre', 'four', 'plat à four']",https://www.allrecipes.com/recipe/232335/honey-garlic-chicken-wings/,437 kcal,"""{""""Carbohydrates"""": """"45 g"""", """"Cholesterol"""": """"101 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"30 g"""", """"Saturated Fat"""": """"7 g"""", """"Sodium"""": """"750 mg"""", """"Sugar"""": """"42 g"""", """"Fat"""": """"16 g"""", """"Unsaturated Fat"""": """"0 g""""}""",19.49
66,Sans cuisson,['Dessert'],['Américain'],Amérique du Nord,15.0,10.0,24,3,"Tapissez deux plaques à pâtisserie à bords hauts de papier sulfurisé. Dans un grand bol, mélangez les flocons d'avoine, la noix de coco, le beurre de cacahuète et la vanille à l'aide d'une spatule jusqu'à obtenir une préparation homogène. Dans une casserole, à feu moyen, mélangez le sucre, le lait, le beurre et le cacao en poudre. Portez progressivement le mélange à ébullition en remuant de temps en temps. Une fois à ébullition, remuez constamment et laissez bouillir 90 à 120 secondes maximum ; si le mélange bout trop longtemps, les biscuits seront friables. Retirez du feu et versez sur le mélange à l'avoine. Mélangez bien. Déposez de grosses boules de pâte sur les plaques préparées. Vaporisez le dos d'une cuillère d'huile de cuisson et utilisez-la pour aplatir les boules de pâte, en vaporisant à nouveau si nécessaire. Laissez refroidir à température ambiante.",['bouillir'],"['spatule', 'casserole']",https://www.allrecipes.com/recipe/10338/no-bakes/,348 kcal,"""{""""Carbohydrates"""": """"51 g"""", """"Cholesterol"""": """"21 mg"""", """"Fiber"""": """"3 g"""", """"Protein"""": """"6 g"""", """"Saturated Fat"""": """"6 g"""", """"Sodium"""": """"113 mg"""", """"Sugar"""": """"35 g"""", """"Fat"""": """"15 g"""", """"Unsaturated Fat"""": """"0 g""""}""",28.14
67,Piccata de poulet à la friteuse à air,['Dîner'],['Américain'],Amérique du Nord,25.0,15.0,4,7,"Préparez votre station de panure : dans un bol, fouettez les œufs, 1 cuillère à soupe de jus de citron et la poudre d’ail jusqu’à obtenir un mélange homogène. Dans un plat creux ou une assiette à tarte, mélangez la farine, le parmesan, le persil et le sel à l’aide d’une fourchette. Préchauffez la friteuse à air chaud à 190 °C (375 °F) selon les instructions du fabricant. Vaporisez le fond de la friteuse avec un aérosol de cuisson. Placez le poulet entre deux feuilles de plastique épais sur une surface plane et solide. Aplatissez-le fermement avec le côté lisse d’un maillet à viande jusqu’à ce qu’il soit uniforme et fin. Panez le poulet dans le mélange de farine, puis dans le mélange d’œufs, et enfin à nouveau dans le mélange de farine. Placez chaque morceau dans la friteuse à air chaud au fur et à mesure, en veillant à ce qu’ils ne se chevauchent pas. Si vous avez trop de morceaux de poulet, vous pouvez les cuire en plusieurs fois. Faites cuire dans la friteuse à air chaud préchauffée jusqu’à ce que le poulet ne soit plus rose à cœur et que le jus soit clair, environ 14 minutes. La température à cœur, mesurée à l’aide d’un thermomètre à lecture instantanée, doit être d’au moins 165 degrés Fahrenheit (74 °C). Pendant la cuisson du poulet, faites fondre le beurre dans une petite casserole à feu moyen. Incorporez le bouillon de poulet, les 2 cuillères à soupe de jus de citron restantes et les câpres avec leur jus. Portez à frémissement, puis laissez mijoter et réduire légèrement pendant la cuisson du poulet (la sauce sera plus liquide). Servez le poulet nappé de sauce au beurre citronné.","['cuire au four', 'mijoter', 'réduire']","['fouet', 'casserole', 'thermomètre', 'maillet']",https://www.allrecipes.com/recipe/284597/air-fryer-chicken-piccata/,322 kcal,"""{""""Carbohydrates"""": """"15 g"""", """"Cholesterol"""": """"182 mg"""", """"Fiber"""": """"1 g"""", """"Protein"""": """"33 g"""", """"Saturated Fat"""": """"7 g"""", """"Sodium"""": """"1143 mg"""", """"Sugar"""": """"1 g"""", """"Fat"""": """"14 g"""", """"Unsaturated Fat"""": """"0 g""""}""",32.61
68,Tarte aux pêches et aux myrtilles de Little Ann,['Dessert'],['Américain'],Amérique du Nord,20.0,45.0,8,4,"Préchauffez le four à 220 °C (thermostat 6). Déposez une pâte brisée au fond d'un moule à tarte. Mélangez les tranches de pêches et les myrtilles dans un grand saladier avec le jus de citron. Dans un petit bol, mélangez le sucre, le tapioca et le sel, versez ce mélange sur les pêches et remuez pour bien les enrober. Transférez le tout dans le moule à tarte préparé et parsemez de morceaux de beurre. Recouvrez la tarte avec la deuxième pâte brisée, pressez-la pour bien souder les deux pâtes. Pratiquez quelques incisions sur le dessus de la pâte pour laisser échapper la vapeur, puis badigeonnez de jaune d'œuf. Faites cuire au four préchauffé jusqu'à ce que la tarte soit bien dorée, pendant 45 à 50 minutes.","['cuire', 'cuire à la vapeur']",['four'],https://www.allrecipes.com/recipe/223283/little-anns-peach-and-blueberry-pie/,387 kcal,"""{""""Carbohydrates"""": """"53 g"""", """"Cholesterol"""": """"33 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"3 g"""", """"Saturated Fat"""": """"6 g"""", """"Sodium"""": """"403 mg"""", """"Sugar"""": """"30 g"""", """"Fat"""": """"18 g"""", """"Unsaturated Fat"""": """"0 g""""}""",41.11
69,Gâteau Bundt pour bébé,['Dessert'],['Américain'],Amérique du Nord,25.0,45.0,14,4,"Préchauffez le four à 165 °C (thermostat 6). Beurrez et farinez un moule à bundt de 25 cm de diamètre. Dans un saladier moyen, tamisez la farine, la levure chimique, la cannelle, les clous de girofle et le sel. Réservez. Dans un grand saladier, mélangez le sucre, les œufs et l'huile jusqu'à obtenir une préparation lisse. Incorporez la purée pour bébé et les noix. Incorporez le mélange de farine en alternance avec la compote de pommes, en battant bien entre chaque ajout. Versez la pâte dans le moule préparé. Faites cuire au four préchauffé jusqu'à ce qu'un cure-dent inséré au centre du gâteau en ressorte propre, environ 45 minutes. Laissez refroidir dans le moule pendant 10 minutes, puis démoulez sur une grille et laissez refroidir complètement.",['cuire'],"['poêle', 'four']",https://www.allrecipes.com/recipe/17352/baby-food-cake-iii/,337 kcal,"""{""""Carbohydrates"""": """"40 g"""", """"Cholesterol"""": """"40 mg"""", """"Fiber"""": """"2 g"""", """"Protein"""": """"5 g"""", """"Saturated Fat"""": """"2 g"""", """"Sodium"""": """"69 mg"""", """"Sugar"""": """"24 g"""", """"Fat"""": """"19 g"""", """"Unsaturated Fat"""": """"0 g""""}""",23.96
